size_bytes,size_kb,size_mb,elements,cycles_per_iteration
176128,172,0.167969,44032,1.54297
177152,173,0.168945,44288,1.53988
178176,174,0.169922,44544,1.53585
179200,175,0.170898,44800,1.53092
180224,176,0.171875,45056,1.5289
181248,177,0.172852,45312,1.54114
182272,178,0.173828,45568,1.53154
183296,179,0.174805,45824,1.53799
184320,180,0.175781,46080,1.53971
185344,181,0.176758,46336,1.53677
186368,182,0.177734,46592,1.57171
187392,183,0.178711,46848,1.52824
188416,184,0.179688,47104,1.52724
189440,185,0.180664,47360,1.53533
190464,186,0.181641,47616,1.53068
191488,187,0.182617,47872,1.52968
192512,188,0.183594,48128,1.52423
193536,189,0.18457,48384,1.51527
194560,190,0.185547,48640,1.52498
195584,191,0.186523,48896,1.52051
196608,192,0.1875,49152,1.51697
197632,193,0.188477,49408,1.52042
198656,194,0.189453,49664,1.51778
199680,195,0.19043,49920,1.51689
200704,196,0.191406,50176,1.52029
201728,197,0.192383,50432,1.52025
202752,198,0.193359,50688,1.5236
203776,199,0.194336,50944,1.51425
204800,200,0.195312,51200,1.52348
205824,201,0.196289,51456,1.52175
206848,202,0.197266,51712,1.5217
207872,203,0.198242,51968,1.51089
208896,204,0.199219,52224,1.51913
209920,205,0.200195,52480,1.51827
210944,206,0.201172,52736,1.52966
211968,207,0.202148,52992,1.5174
212992,208,0.203125,53248,1.52787
214016,209,0.204102,53504,1.54145
215040,210,0.205078,53760,1.52212
216064,211,0.206055,54016,1.54436
217088,212,0.207031,54272,1.52043
218112,213,0.208008,54528,1.52118
219136,214,0.208984,54784,1.55253
220160,215,0.209961,55040,1.51797
221184,216,0.210938,55296,1.52727
222208,217,0.211914,55552,1.5303
223232,218,0.212891,55808,1.53175
224256,219,0.213867,56064,1.52016
225280,220,0.214844,56320,1.52012
226304,221,0.21582,56576,1.51856
227328,222,0.216797,56832,1.52382
228352,223,0.217773,57088,1.52302
229376,224,0.21875,57344,1.51772
230400,225,0.219727,57600,1.52292
231424,226,0.220703,57856,1.5251
232448,227,0.22168,58112,1.5169
233472,228,0.222656,58368,1.53898
234496,229,0.223633,58624,1.52272
235520,230,0.224609,58880,1.53363
236544,231,0.225586,59136,1.52044
237568,232,0.226562,59392,1.52765
238592,233,0.227539,59648,1.53407
239616,234,0.228516,59904,1.54258
240640,235,0.229492,60160,1.53674
241664,236,0.230469,60416,1.5409
242688,237,0.231445,60672,1.54007
243712,238,0.232422,60928,1.53713
244736,239,0.233398,61184,1.54264
245760,240,0.234375,61440,1.53201
246784,241,0.235352,61696,1.53402
247808,242,0.236328,61952,1.52282
248832,243,0.237305,62208,1.52416
249856,244,0.238281,62464,1.52755
250880,245,0.239258,62720,1.52749
251904,246,0.240234,62976,4.31734
252928,247,0.241211,63232,1.5192
253952,248,0.242188,63488,1.52933
254976,249,0.243164,63744,1.52723
256000,250,0.244141,64000,1.53188
257024,251,0.245117,64256,1.53648
258048,252,0.246094,64512,1.52972
259072,253,0.24707,64768,1.5323
260096,254,0.248047,65024,1.52891
261120,255,0.249023,65280,1.52687
262144,256,0.25,65536,1.5419
263168,257,0.250977,65792,1.53002
264192,258,0.251953,66048,1.53581
265216,259,0.25293,66304,1.55322
266240,260,0.253906,66560,1.54079
267264,261,0.254883,66816,1.54132
268288,262,0.255859,67072,1.53736
269312,263,0.256836,67328,1.53343
270336,264,0.257812,67584,1.53399
271360,265,0.258789,67840,1.53327
272384,266,0.259766,68096,1.5515
273408,267,0.260742,68352,1.53059
274432,268,0.261719,68608,1.52989
275456,269,0.262695,68864,1.5367
276480,270,0.263672,69120,1.53971
277504,271,0.264648,69376,1.55077
278528,272,0.265625,69632,1.52963
279552,273,0.266602,69888,1.53202
280576,274,0.267578,70144,1.53134
281600,275,0.268555,70400,1.52638
282624,276,0.269531,70656,1.52815
283648,277,0.270508,70912,1.55902
284672,278,0.271484,71168,1.53347
285696,279,0.272461,71424,1.53941
286720,280,0.273438,71680,1.53152
287744,281,0.274414,71936,1.53025
288768,282,0.275391,72192,1.55818
289792,283,0.276367,72448,1.54318
290816,284,0.277344,72704,1.53183
291840,285,0.27832,72960,1.54178
292864,286,0.279297,73216,1.53227
293888,287,0.280273,73472,1.53337
294912,288,0.28125,73728,1.53563
295936,289,0.282227,73984,1.53845
296960,290,0.283203,74240,1.52967
297984,291,0.28418,74496,1.53596
299008,292,0.285156,74752,3.44796
300032,293,0.286133,75008,1.53293
301056,294,0.287109,75264,1.53514
302080,295,0.288086,75520,1.54759
303104,296,0.289062,75776,1.52761
304128,297,0.290039,76032,1.54056
305152,298,0.291016,76288,1.52186
306176,299,0.291992,76544,1.51902
307200,300,0.292969,76800,1.52684
308224,301,0.293945,77056,1.51674
309248,302,0.294922,77312,1.51951
310272,303,0.295898,77568,1.5217
311296,304,0.296875,77824,1.5189
312320,305,0.297852,78080,1.51557
313344,306,0.298828,78336,1.51995
314368,307,0.299805,78592,1.52485
315392,308,0.300781,78848,1.5139
316416,309,0.301758,79104,1.51715
317440,310,0.302734,79360,1.5166
318464,311,0.303711,79616,1.51172
319488,312,0.304688,79872,1.51441
320512,313,0.305664,80128,1.52245
321536,314,0.306641,80384,1.51225
322560,315,0.307617,80640,1.51598
323584,316,0.308594,80896,1.52607
324608,317,0.30957,81152,1.53715
325632,318,0.310547,81408,1.52545
326656,319,0.311523,81664,1.51593
327680,320,0.3125,81920,1.52432
328704,321,0.313477,82176,1.52114
329728,322,0.314453,82432,1.51015
330752,323,0.31543,82688,3.06348
331776,324,0.316406,82944,1.52623
332800,325,0.317383,83200,1.53291
333824,326,0.318359,83456,1.5179
334848,327,0.319336,83712,1.51429
335872,328,0.320312,83968,3.04187
336896,329,0.321289,84224,1.51529
337920,330,0.322266,84480,1.51579
338944,331,0.323242,84736,1.51629
339968,332,0.324219,84992,1.52184
340992,333,0.325195,85248,1.51222
342016,334,0.326172,85504,1.50518
343040,335,0.327148,85760,1.50771
344064,336,0.328125,86016,1.50672
345088,337,0.329102,86272,1.50524
346112,338,0.330078,86528,1.50824
347136,339,0.331055,86784,1.51717
348160,340,0.332031,87040,1.50678
349184,341,0.333008,87296,1.51664
350208,342,0.333984,87552,1.50779
351232,343,0.334961,87808,1.50633
352256,344,0.335938,88064,1.50732
353280,345,0.336914,88320,1.5088
354304,346,0.337891,88576,1.50638
355328,347,0.338867,88832,1.50591
356352,348,0.339844,89088,1.50689
357376,349,0.34082,89344,1.50642
358400,350,0.341797,89600,1.50644
359424,351,0.342773,89856,1.51363
360448,352,0.34375,90112,1.56039
361472,353,0.344727,90368,1.51315
362496,354,0.345703,90624,1.51267
363520,355,0.34668,90880,1.50888
364544,356,0.347656,91136,1.5103
365568,357,0.348633,91392,1.51595
366592,358,0.349609,91648,1.51876
367616,359,0.350586,91904,3.03513
368640,360,0.351562,92160,1.52618
369664,361,0.352539,92416,1.52475
370688,362,0.353516,92672,1.5261
371712,363,0.354492,92928,1.53671
372736,364,0.355469,93184,1.51818
373760,365,0.356445,93440,1.52092
374784,366,0.357422,93696,1.51814
375808,367,0.358398,93952,1.5163
376832,368,0.359375,94208,1.51993
377856,369,0.360352,94464,1.52264
378880,370,0.361328,94720,1.51807
379904,371,0.362305,94976,1.52575
380928,372,0.363281,95232,1.52617
381952,373,0.364258,95488,1.53198
382976,374,0.365234,95744,1.52205
384000,375,0.366211,96000,1.52157
385024,376,0.367188,96256,3.81503
386048,377,0.368164,96512,1.51261
387072,378,0.369141,96768,1.51483
388096,379,0.370117,97024,1.51837
389120,380,0.371094,97280,1.51172
390144,381,0.37207,97536,1.5126
391168,382,0.373047,97792,1.51216
392192,383,0.374023,98048,1.52137
393216,384,0.375,98304,1.51259
394240,385,0.375977,98560,1.51085
395264,386,0.376953,98816,2.68402
396288,387,0.37793,99072,1.51259
397312,388,0.378906,99328,1.51865
398336,389,0.379883,99584,1.50999
399360,390,0.380859,99840,1.51301
400384,391,0.381836,100096,1.51215
401408,392,0.382812,100352,1.51172
402432,393,0.383789,100608,1.51044
403456,394,0.384766,100864,1.51257
404480,395,0.385742,101120,1.52405
405504,396,0.386719,101376,1.51257
406528,397,0.387695,101632,1.52187
407552,398,0.388672,101888,1.5151
408576,399,0.389648,102144,1.51382
409600,400,0.390625,102400,1.5155
410624,401,0.391602,102656,1.50921
411648,402,0.392578,102912,1.50838
412672,403,0.393555,103168,1.51255
413696,404,0.394531,103424,1.50839
414720,405,0.395508,103680,1.52623
415744,406,0.396484,103936,1.51627
416768,407,0.397461,104192,1.51254
417792,408,0.398438,104448,1.50884
418816,409,0.399414,104704,1.50967
419840,410,0.400391,104960,1.51909
420864,411,0.401367,105216,1.50681
421888,412,0.402344,105472,1.50927
422912,413,0.40332,105728,1.51619
423936,414,0.404297,105984,1.51334
424960,415,0.405273,106240,1.52022
425984,416,0.40625,106496,1.51333
427008,417,0.407227,106752,1.51051
428032,418,0.408203,107008,1.5069
429056,419,0.40918,107264,1.50931
430080,420,0.410156,107520,1.50652
431104,421,0.411133,107776,1.51571
432128,422,0.412109,108032,1.51251
433152,423,0.413086,108288,1.51807
434176,424,0.414062,108544,1.51726
435200,425,0.415039,108800,1.51923
436224,426,0.416016,109056,2.87479
437248,427,0.416992,109312,1.52037
438272,428,0.417969,109568,1.51682
439296,429,0.418945,109824,1.51642
440320,430,0.419922,110080,1.51367
441344,431,0.420898,110336,1.51562
442368,432,0.421875,110592,1.5125
443392,433,0.422852,110848,1.51094
444416,434,0.423828,111104,1.51365
445440,435,0.424805,111360,1.51558
446464,436,0.425781,111616,1.51095
447488,437,0.426758,111872,1.60474
448512,438,0.427734,112128,1.51172
449536,439,0.428711,112384,1.51287
450560,440,0.429688,112640,1.51897
451584,441,0.430664,112896,1.51515
452608,442,0.431641,113152,1.5064
453632,443,0.432617,113408,1.503
454656,444,0.433594,113664,1.51248
455680,445,0.43457,113920,1.50945
456704,446,0.435547,114176,1.50908
457728,447,0.436523,114432,1.52111
458752,448,0.4375,114688,1.51322
459776,449,0.438477,114944,1.51471
460800,450,0.439453,115200,1.50911
461824,451,0.44043,115456,1.50501
462848,452,0.441406,115712,1.51172
463872,453,0.442383,115968,1.50986
464896,454,0.443359,116224,1.51024
465920,455,0.444336,116480,1.51467
466944,456,0.445312,116736,1.52719
467968,457,0.446289,116992,1.51062
468992,458,0.447266,117248,1.50842
470016,459,0.448242,117504,1.52014
471040,460,0.449219,117760,1.50734
472064,461,0.450195,118016,1.51099
473088,462,0.451172,118272,1.51026
474112,463,0.452148,118528,1.51462
475136,464,0.453125,118784,1.50846
476160,465,0.454102,119040,1.5193
477184,466,0.455078,119296,1.5146
478208,467,0.456055,119552,1.51711
479232,468,0.457031,119808,1.51351
480256,469,0.458008,120064,1.51566
481280,470,0.458984,120320,2.71323
482304,471,0.459961,120576,1.51885
483328,472,0.460938,120832,1.51207
484352,473,0.461914,121088,1.51918
485376,474,0.462891,121344,2.48941
486400,475,0.463867,121600,1.51172
487424,476,0.464844,121856,1.51031
488448,477,0.46582,122112,1.51031
489472,478,0.466797,122368,1.51066
490496,479,0.467773,122624,1.51558
491520,480,0.46875,122880,1.51732
492544,481,0.469727,123136,1.50858
493568,482,0.470703,123392,1.50963
494592,483,0.47168,123648,1.51207
495616,484,0.472656,123904,1.51588
496640,485,0.473633,124160,1.51033
497664,486,0.474609,124416,1.51137
498688,487,0.475586,124672,1.51241
499712,488,0.476562,124928,1.50965
500736,489,0.477539,125184,1.52099
501760,490,0.478516,125440,1.51035
502784,491,0.479492,125696,1.51309
503808,492,0.480469,125952,1.51172
504832,493,0.481445,126208,1.51002
505856,494,0.482422,126464,2.72966
506880,495,0.483398,126720,1.51104
507904,496,0.484375,126976,1.51477
508928,497,0.485352,127232,1.50766
509952,498,0.486328,127488,1.51981
510976,499,0.487305,127744,1.50903
512000,500,0.488281,128000,1.51138
513024,501,0.489258,128256,1.51105
514048,502,0.490234,128512,1.51105
515072,503,0.491211,128768,1.50905
